EventId,EventTemplate,Occurrences
e3d9fb97,Out of Memory: Killed process <*> <*>,1048
968a0b94,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= <*> <*>,150
3ade478a,"httpd: page allocation failure. order:<*>, <*>",5
2bd99af8,Call Trace:,5
6a7e2c59,[<0212ebf3>] __alloc_pages+0x274/0x<*>,5
cce3e3d5,[<021303bd>] do_page_cache_readahead+0xa3/0x<*>,3
e5c3c52e,[<0212c71b>] filemap_nopage+0x119/0x26d,3
84043d58,[<021361c7>] do_no_page+0xa1/0x<*>,4
6a05380f,[<0213647b>] handle_mm_fault+0x71/0xe<*>,4
5d1d02ed,[<<*>>] <*>,12
18f70ff3,[<0227ecc1>] schedule+0x3ed/0x44d,5
92496dde,[<0213f423>] put_user_size+0x29/0x2d,3
a9f351ce,[<0212c5b2>] page_cache_read+0x2a/0x7a,1
d9c44a86,[<0212c784>] filemap_nopage+0x182/0x26d,1
d7191ba8,VM: killing process httpd,1
09789b2b,session opened for user <*> by <*>,86
27624832,session closed for user <*>,87
64042dcf,ALERT exited abnormally with [<*>],40
37f8c386,[<0213d341>] read_swap_cache_async+0x41/0x<*>,1
4a45ffcb,[<02135dee>] swapin_readahead+0x2c/0x<*>,1
8b49d04c,[<02135e66>] do_swap_page+0x5d/0x1f<*>,1
17a42068,[<021364a7>] handle_mm_fault+0x9d/0xe<*>,1
38143401,[<0210737b>] do_IRQ+0x15d/0x<*>,1
f2487cd5,*** info <*>,4
c3e293cc,imps2: Auto-detected intellimouse PS/<*>,3
de05a126,Master rebooting...,1
4a5fdb52,shutting down for system reboot,1
3d002f62,removing device node <*>,42
3612d5a3,Switching to runlevel: <*>,1
961489c4,creating device node <*>,43
2f08a67f,messagebus shutdown failed,1
70943641,atd <*> succeeded,2
930eaf5b,privoxy <*> succeeded,2
d6254e1a,cupsd <*> succeeded,12
115bbe5f,xfs shutdown failed,1
9143cfb3,jserver shutdown failed,1
2c67d635,irw_killserver:cannaserver end,1
fadb5ccf,Stopping Canna server: succeeded,1
541eff89,Stopping MySQL: failed,1
f0276996,gpm <*> succeeded,2
f86a514a,httpd <*> succeeded,2
f8f8ce9d,Stopping squid:,1
5058f1af,.,2
5227e9ca,^[[60G[ ^[[<*>;32mOK,1
26bdbe9a,Stopping squid: succeeded,1
960980ea,sshd -TERM succeeded,1
4968c43c,Squid Parent: child process <*> exited with status <*>,1
8b5ad0bd,sendmail <*> succeeded,2
694eb013,sm-client shutdown failed,1
c9c91d9c,spamd <*> succeeded,2
59bfc37a,smartd received signal <*>: Terminated,1
1bc825da,smartd is exiting (exit status <*>),1
a1920778,smartd <*> succeeded,2
4953264d,named shutdown failed,1
648310d8,Received TERM or STOP signal... shutting down...,1
f1495a47,snmpd <*> succeeded,2
b05754fa,Exiting...,1
d9d75317,xinetd <*> succeeded,2
743ed62f,crond <*> succeeded,2
0657d962,Exiting,1
7428af05,apmd <*> succeeded,2
310cc72c,ntpd exiting on signal <*>,1
a52a6cc9,ntpd <*> succeeded,2
a73cbf48,1+<*> records <*>,2
fb0a7c5c,Saving random seed: succeeded,1
8bef4afc,rpc.statd shutdown failed,1
3e85b106,portmap shutdown failed,1
ba41b9fb,Kernel logging (proc) stopped.,2
8290632a,Kernel log daemon terminating.,2
1d6a58b2,klogd <*> succeeded,4
6f97e9d4,restart.,7
398ff7dc,syslogd <*> succeeded,3
ccfa29ce,"klogd <*>.<*>.<*>, log source = /proc/kmsg started.",2
58c5f804,Linux version <*>.<*>.<*>-<*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> <*> (Red Hat Linux <*>.<*>.<*>-<*>)) #<*> Sat May <*> <*>:<*>:<*> EDT <*>,1
8c537990,BIOS-provided physical RAM map:,1
6dc36b09,BIOS-e820: <*> - <*> (usable),2
0f5f997d,BIOS-e820: <*> - <*> (reserved),3
9b11616a,0MB HIGHMEM available.,1
6b643c98,126MB LOWMEM available.,1
42e1da55,zapping low mappings.,1
a7228435,On node <*> totalpages: <*>,1
532896b6,"DMA zone: <*> pages, LIFO batch:<*>",1
f875a45b,"Normal zone: <*> pages, LIFO batch:<*>",1
d7763055,irqbalance startup succeeded,1
91d02319,"HighMem zone: <*> pages, LIFO batch:<*>",1
107dd053,DMI <*>.<*> present.,1
45e5ce07,ACPI disabled because your bios is from <*> and too old,1
29249ae3,You can enable it with acpi=force,1
4d847ed1,Built <*> zonelists,1
2ec79755,Kernel command line: ro root=LABEL=/ rhgb quiet,1
4845b66c,mapped 4G/4G trampoline to ffff3000.,1
3c918e8f,Initializing CPU#<*>,1
3776b2f4,"CPU <*> irqstacks, hard=<*> soft=<*>",1
56dbac5b,PID hash table entries: <*> (order <*>: <*> bytes),1
7d73b4c5,portmap startup succeeded,1
a55cfef8,Detected <*>.<*> MHz processor.,1
85959353,Using tsc for high-res timesource,1
558c444b,Console: colour VGA+ 80x<*>,1
1559494b,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",1
b24a2e02,Calibrating delay loop... <*>.<*> BogoMIPS,1
b97f359a,Version <*>.<*>.<*> Starting,1
3a0effc3,Security Scaffold v1.<*>.<*> initialized,1
25830347,rpc.statd startup succeeded,1
158c34d8,SELinux: Initializing.,1
426f668c,SELinux: Starting in permissive mode,1
e0661b3c,"There is already a security framework initialized, register_security failed.",1
a31006da,Failure registering capabilities with the kernel,1
41ffccb1,selinux_register_security: Registering secondary module capability,1
48a493b0,Capability LSM initialized,1
12a0a01e,"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)",1
644c3598,"Inode-cache hash table entries: <*> (order: <*>, <*> bytes)",1
a4ab81e4,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)",1
97d5ba9f,"CPU: L1 I cache: 16K, L1 D cache: 16K",1
d678ffa6,CPU: L2 cache: 256K,1
53650236,Intel machine check architecture supported.,1
b64203c9,Intel machine check reporting enabled on CPU#<*>.,1
b47e70f3,CPU: Intel Pentium III (Coppermine) stepping <*>,1
00c09a87,rpc.idmapd startup succeeded,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
0dfe904f,Checking 'hlt' instruction... OK.,1
60696e47,POSIX conformance testing by UNIFIX,1
4af88f8f,NET: Registered protocol family <*>,6
3ac5bdcd,"PCI: PCI BIOS revision <*>.<*> entry at 0xfc0ce, last bus=<*>",1
0f556ff9,PCI: Using configuration type <*>,1
d789e1f7,mtrr: v2.<*> (<*>),1
1ee2f7d8,ACPI: Subsystem revision <*>,1
cf383357,ACPI: Interpreter disabled.,1
ba3aa8a5,Linux Plug and Play Support v0.<*> (c) Adam Belay,1
f1205e3c,usbcore: registered new driver <*>,4
cafc1bbd,ACPI: ACPI tables contain no PCI IRQ routing entries,1
ea8a8d97,PCI: Invalid ACPI-PCI IRQ routing table,1
1f72ed8d,PCI: Probing PCI hardware,1
af4344c8,PCI: Probing PCI hardware (bus <*>),1
80734f26,Initializing random number generator: succeeded,1
607d2f78,Transparent bridge - <*>:<*>:1e.<*>,1
e08ec39e,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>:<*>:1f.<*>,1
4b29fefa,net.ipv4.conf.default.rp_filter = <*>,1
c8c488f0,apm: BIOS version <*>.<*> Flags 0x03 (Driver version <*>.16ac),1
d7b61992,kernel.sysrq = <*>,1
4b7e6959,audit: initializing netlink socket (disabled),1
8d44ea73,kernel.core_uses_pid = <*>,1
df1260ea,audit(<*>.<*>:<*>): initialized,1
a9d64ca2,Setting network parameters: succeeded,1
0906cb48,"Total HugeTLB memory allocated, <*>",1
ea2ebcf2,Starting <*> succeeded,4
f3b4bfda,Bringing up loopback interface: succeeded,1
158ceaf1,VFS: Disk quotas dquot_<*>.<*>.<*>,1
b0ab04b3,"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)",1
ee2ae22f,SELinux: <*> netfilter hooks,2
2b566107,Initializing Cryptographic API,1
fbcc2963,pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>,1
2bf1954b,isapnp: Scanning for PnP cards...,1
2e3d6c0c,isapnp: No Plug & Play device found,1
fae82c3a,Real Time Clock Driver v1.<*>,1
eb2ffdd1,Linux agpgart interface v0.<*> (c) Dave Jones,1
a15eff8f,agpgart: Detected an Intel i810 E Chipset.,1
ef003ae8,agpgart: Maximum main memory to use for agp memory: 93M,1
6b878d6c,HCI daemon ver <*>.<*> started,1
dbae5392,hcid startup succeeded,1
24c24e18,agpgart: detected 4MB dedicated video ram.,1
3307aa8a,sdpd startup succeeded,1
9808beac,sdpd v1.<*> started,1
fb66f146,agpgart: AGP aperture is 64M @ 0xf<*>,1
3b2258b8,"Serial: <*>/<*> driver $Revision: <*>.<*> $ <*> ports, IRQ sharing enabled",1
014742e5,<*> at I/O <*> (irq = <*>) is a 16550A,2
11d21083,RAMDISK driver initialized: <*> RAM disks of 16384K size <*> blocksize,1
eb004ad0,Uniform Multi-Platform E-IDE driver Revision: <*>.00alpha<*>,1
b79529df,ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx,1
ed9bf2ac,Mounting other filesystems: succeeded,1
7f93dfec,ICH: IDE controller at PCI slot <*>:<*>:1f.<*>,1
6ff50219,ICH: chipset revision <*>,1
071889ee,ICH: not <*>%% native mode: will probe irqs later,1
dc64cabd,<*> BM-DMA at <*> BIOS settings: <*> <*>,2
f0832ece,"Version <*>.<*>.<*> (APM BIOS <*>.<*>, Linux driver <*>.16ac)",1
d1b841e9,"hda: IBM-DTLA-<*>, ATA DISK drive",1
a3bd2f17,Using cfq io scheduler,1
e8287044,<*> at <*> on irq <*>,2
66e24522,"hdc: SAMSUNG CD-ROM SN-<*>, ATAPI CD/DVD-ROM drive",1
57547384,hdc: Disabling (U)DMA for SAMSUNG CD-ROM SN-<*> (blacklisted),1
41b966de,hda: max request size: 128KiB,1
e5b17d70,"hda: <*> sectors (<*> MB) w/1916KiB Cache, CHS=<*>/<*>/<*>, UDMA(<*>)",1
20fcf758,hda: hda1 hda2 hda<*>,1
55543cf8,"hdc: ATAPI 24X CD-ROM drive, 128kB Cache",1
694e1e47,Uniform CD-ROM driver Revision: <*>.<*>,1
b4a880b3,automount startup succeeded,1
bf97de93,ide-floppy driver <*>.<*>.newide,1
52e09b9d,smartd version <*>.<*> Copyright (C) <*>-<*> Bruce Allen,1
09c1f876,Home page is http://smartmontools.sourceforge.net/,1
dfb126d5,drivers/usb/input/hid-core.c: v2.<*>:USB HID core driver,1
3425827a,Opened configuration file /etc/smartd.conf,1
adb6465c,mice: PS/<*> mouse device common for all mice,1
3adcc40c,Configuration file /etc/smartd.conf parsed.,1
2bf09b69,"serio: i8042 <*> port at 0x60,0x64 irq <*>",2
82fec567,"Device: /dev/hda, opened",1
6da449d1,input: ImPS/<*> Logitech Wheel Mouse on isa0060/serio<*>,1
24406284,"Device: /dev/hda, found in smartd database.",1
94079a98,"Device: /dev/hda, is SMART capable. Adding to ""monitor"" list.",1
bbf300bc,input: AT Translated Set <*> keyboard on isa0060/serio<*>,1
c0d9ffbe,Monitoring <*> ATA and <*> SCSI devices,1
db224eb9,"md: md driver <*>.<*>.<*> MAX_MD_DEVS=<*>, MD_SB_DISKS=<*>",1
0ba7c0bc,Charge: * * * (<*>% unknown),1
bfcc4c57,smartd has fork()ed into background mode. New PID=<*>.,1
7c443d3a,"IP: routing cache hash table of <*> buckets, 4Kbytes",1
85b3fb74,TCP: Hash tables configured (established <*> bind <*>),1
3637fd61,Initializing IPsec netlink socket,1
d36fc8e6,checking if image is initramfs...it isn't (no cpio magic); looks like an initrd,1
414e6be4,Freeing initrd memory: 186k freed,1
38fe4fa3,md: Autodetecting RAID arrays.,1
b5e84bfb,md: autorun ...,1
71372c58,md: ... autorun DONE.,1
52da5fb2,RAMDISK: Compressed image found at block <*>,1
26dd0661,VFS: Mounted root (ext2 filesystem).,1
9c04de00,kjournald starting. Commit interval <*> seconds,2
09cd9ade,EXT3-fs: mounted filesystem with ordered data mode.,2
772b0ffc,Freeing unused kernel memory: 144k freed,1
ebb6db13,SELinux: Disabled at runtime.,1
0439b300,Disabled Privacy Extensions on device 022db720(lo),1
1da5319d,IPv6 over IPv4 tunneling driver,1
99853b7e,USB Universal Host Controller Interface driver v2.<*>,1
0add29d8,PCI: Found IRQ <*> for device <*>,3
9df8a403,uhci_hcd <*>:<*>:1f.<*>: UHCI Host Controller,1
bd4f8b87,"uhci_hcd <*>:<*>:1f.<*>: irq <*>, io base 0000ff<*>",1
