LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,Nov,26,12:30:36,combo,kernel,Out of Memory: Killed process 19196 (sendmail).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19196 (sendmail).']
2,Nov,26,12:40:54,combo,kernel,Out of Memory: Killed process 19414 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19414 (python).']
3,Nov,26,13:00:13,combo,kernel,Out of Memory: Killed process 19437 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19437 (python).']
4,Nov,26,13:05:24,combo,kernel,Out of Memory: Killed process 19459 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19459 (python).']
5,Nov,26,13:10:35,combo,kernel,Out of Memory: Killed process 19466 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19466 (python).']
6,Nov,26,13:15:33,combo,kernel,Out of Memory: Killed process 19479 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19479 (python).']
7,Nov,26,13:20:32,combo,kernel,Out of Memory: Killed process 19500 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19500 (python).']
8,Nov,26,13:25:22,combo,kernel,Out of Memory: Killed process 19510 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19510 (python).']
9,Nov,26,13:30:27,combo,kernel,Out of Memory: Killed process 19524 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19524 (python).']
10,Nov,26,13:35:35,combo,kernel,Out of Memory: Killed process 19535 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19535 (python).']
11,Nov,26,13:40:37,combo,kernel,Out of Memory: Killed process 19546 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19546 (python).']
12,Nov,26,13:41:03,combo,kernel,Out of Memory: Killed process 19547 (mrtg).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19547 (mrtg).']
13,Nov,26,13:46:19,combo,kernel,Out of Memory: Killed process 19562 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19562 (python).']
14,Nov,26,13:46:32,combo,kernel,Out of Memory: Killed process 19326 (sendmail).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19326 (sendmail).']
15,Nov,26,13:46:36,combo,kernel,Out of Memory: Killed process 19563 (mrtg).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19563 (mrtg).']
16,Nov,26,14:10:38,combo,kernel,Out of Memory: Killed process 19617 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19617 (python).']
17,Nov,26,14:15:32,combo,kernel,Out of Memory: Killed process 19626 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19626 (python).']
18,Nov,26,14:20:32,combo,kernel,Out of Memory: Killed process 19640 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19640 (python).']
19,Nov,26,14:25:22,combo,kernel,Out of Memory: Killed process 19655 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19655 (python).']
20,Nov,26,14:30:24,combo,kernel,Out of Memory: Killed process 19663 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19663 (python).']
21,Nov,26,14:35:20,combo,kernel,Out of Memory: Killed process 19672 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19672 (python).']
22,Nov,26,14:35:27,combo,kernel,Out of Memory: Killed process 19461 (sendmail).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19461 (sendmail).']
23,Nov,26,14:35:37,combo,kernel,Out of Memory: Killed process 19673 (mrtg).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19673 (mrtg).']
24,Nov,26,14:40:21,combo,kernel,Out of Memory: Killed process 19684 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19684 (python).']
25,Nov,26,15:00:17,combo,kernel,Out of Memory: Killed process 19707 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19707 (python).']
26,Nov,26,15:10:25,combo,kernel,Out of Memory: Killed process 19736 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19736 (python).']
27,Nov,26,15:15:22,combo,kernel,Out of Memory: Killed process 19751 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19751 (python).']
28,Nov,26,15:20:29,combo,kernel,Out of Memory: Killed process 19762 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19762 (python).']
29,Nov,26,15:26:09,combo,kernel,Out of Memory: Killed process 19774 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19774 (python).']
30,Nov,26,15:30:24,combo,kernel,Out of Memory: Killed process 19786 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19786 (python).']
31,Nov,26,15:35:25,combo,kernel,Out of Memory: Killed process 19795 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19795 (python).']
32,Nov,26,15:35:38,combo,kernel,Out of Memory: Killed process 19794 (mrtg).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19794 (mrtg).']
33,Nov,26,15:40:22,combo,kernel,Out of Memory: Killed process 19809 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19809 (python).']
34,Nov,26,15:40:41,combo,kernel,Out of Memory: Killed process 19610 (sendmail).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19610 (sendmail).']
35,Nov,26,15:55:18,combo,kernel,Out of Memory: Killed process 19842 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19842 (python).']
36,Nov,26,16:00:23,combo,kernel,Out of Memory: Killed process 19846 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19846 (python).']
37,Nov,26,16:05:16,combo,kernel,Out of Memory: Killed process 19866 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19866 (python).']
38,Nov,26,16:15:20,combo,kernel,Out of Memory: Killed process 19888 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19888 (python).']
39,Nov,26,16:20:41,combo,kernel,Out of Memory: Killed process 19902 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19902 (python).']
40,Nov,26,16:25:45,combo,kernel,Out of Memory: Killed process 19925 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19925 (python).']
41,Nov,26,16:30:22,combo,kernel,Out of Memory: Killed process 19937 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19937 (python).']
42,Nov,26,16:30:38,combo,kernel,Out of Memory: Killed process 19730 (sendmail).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19730 (sendmail).']
43,Nov,26,16:30:45,combo,kernel,Out of Memory: Killed process 19936 (mrtg).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19936 (mrtg).']
44,Nov,26,16:31:06,combo,sshd(pam_unix)[19947],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=84.233.148.165  user=webmaster,968a0b94,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= <*> <*>,"['0', '0', 'rhost=84.233.148.165  user=webmaster']"
45,Nov,26,16:31:06,combo,sshd(pam_unix)[19948],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=84.233.148.165  user=webmaster,968a0b94,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= <*> <*>,"['0', '0', 'rhost=84.233.148.165  user=webmaster']"
46,Nov,26,17:10:28,combo,kernel,Out of Memory: Killed process 20039 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20039 (python).']
47,Nov,26,17:16:41,combo,kernel,Out of Memory: Killed process 20052 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20052 (python).']
48,Nov,26,17:20:43,combo,kernel,Out of Memory: Killed process 20061 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20061 (python).']
49,Nov,26,17:25:21,combo,kernel,Out of Memory: Killed process 20077 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20077 (python).']
50,Nov,26,17:30:22,combo,kernel,Out of Memory: Killed process 20095 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20095 (python).']
51,Nov,26,17:35:36,combo,kernel,Out of Memory: Killed process 20105 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20105 (python).']
52,Nov,26,17:35:48,combo,kernel,Out of Memory: Killed process 19868 (sendmail).,e3d9fb97,Out of Memory: Killed process <*> <*>,['19868 (sendmail).']
53,Nov,26,17:55:28,combo,kernel,Out of Memory: Killed process 20148 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20148 (python).']
54,Nov,26,18:05:19,combo,kernel,Out of Memory: Killed process 20172 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20172 (python).']
55,Nov,26,18:15:26,combo,kernel,Out of Memory: Killed process 20193 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20193 (python).']
56,Nov,26,18:20:45,combo,kernel,Out of Memory: Killed process 20203 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20203 (python).']
57,Nov,26,18:25:48,combo,kernel,Out of Memory: Killed process 20213 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20213 (python).']
58,Nov,26,18:31:07,combo,kernel,Out of Memory: Killed process 20226 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20226 (python).']
59,Nov,26,18:35:23,combo,kernel,Out of Memory: Killed process 20239 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20239 (python).']
60,Nov,26,18:40:24,combo,kernel,Out of Memory: Killed process 20254 (python).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20254 (python).']
61,Nov,26,18:40:43,combo,kernel,Out of Memory: Killed process 20253 (mrtg).,e3d9fb97,Out of Memory: Killed process <*> <*>,['20253 (mrtg).']
