EventId,EventTemplate,Occurrences
e3d9fb97,Out of Memory: Killed process <*> <*>,1218
3ade478a,"httpd: page allocation failure. order:<*>, <*>",52
2bd99af8,Call Trace:,62
6a7e2c59,[<0212ebf3>] __alloc_pages+0x274/0x<*>,64
37f8c386,[<0213d341>] read_swap_cache_async+0x41/0x<*>,26
4a45ffcb,[<02135dee>] swapin_readahead+0x2c/0x<*>,15
8b49d04c,[<02135e66>] do_swap_page+0x5d/0x1f<*>,15
17a42068,[<021364a7>] handle_mm_fault+0x9d/0xe<*>,25
5d1d02ed,[<<*>>] <*>,207
8ce26985,[<0211c38d>] proc_dointvec+0x11/0x<*>,3
cdb39502,[<0211c01d>] do_proc_dointvec_conv+0x0/0x<*>,3
af47455f,[<0211bdc5>] do_rw_proc+0x79/0x8d,3
76f90ab6,[<02142d47>] invalidate_inode_buffers+0x9/0x<*>,3
75a2cef0,[<0227e913>] schedule+0x3f/0x44d,9
e3cd8a5e,[<0215242b>] dput+0x12c/0x13a,3
05fcbb62,[<02135e6d>] do_swap_page+0x64/0x1f<*>,10
907be872,VM: killing process <*>,17
b6ca1d51,[<0212d1de>] generic_file_aio_write_nolock+0x4fe/0x84e,1
2c792af3,[<02115f01>] __wake_up+0xe/0x<*>,10
4b23ee29,[<021288cf>] __print_symbol+0x110/0x<*>,10
96fa064c,[<0212d602>] generic_file_aio_write+0x69/0x7c,13
c3fcc04f,[<0a8ddb99>] ext3_file_write+0x19/0x88 [ext3],13
ed028760,[<02115ed2>] __wake_up_common+0x2f/0x<*>,9
903850e0,[<021189cd>] printk+0x106/0x<*>,9
3db5be3b,[<021060c2>] show_trace+0x92/0x<*>,9
8a76293b,[<02129a6c>] do_acct_process+0x283/0x<*>,13
3573d6b4,[<02129a95>] acct_process+0x15/0x1f,13
856ba15f,[<02119ccc>] do_exit+0x9f/0x2e<*>,13
c84160e8,[<0211476a>] do_page_fault+0x362/0x<*>,13
92496dde,[<0213f423>] put_user_size+0x29/0x2d,40
18f70ff3,[<0227ecc1>] schedule+0x3ed/0x44d,40
55be8f47,[<0212bd04>] find_or_create_page+0x39/0x<*>,12
13b8cac9,[<02142ed7>] grow_dev_page+0x27/0xc<*>,12
8a67813e,[<0214328d>] __getblk+0x25/0x2b,12
d3e7b89b,[<0a8e1123>] ext3_get_inode_loc+0x4f/0x201 [ext3],10
d5fa2095,[<0212db65>] mempool_alloc+0x5d/0xf<*>,9
a59fb78d,[<0a8e1ba6>] ext3_reserve_inode_write+0x21/0x81 [ext3],12
b07bd83c,[<0a8e1c17>] ext3_mark_inode_dirty+0x11/0x27 [ext3],12
eefb6efb,[<0a8b23ef>] journal_start+0x78/0x9e [jbd],12
b8b7ba1f,[<0a8e1c7c>] ext3_dirty_inode+0x4f/0x5f [ext3],12
d0549964,[<0215456f>] inode_update_time+0x8e/0x<*>,12
a9a4f636,[<0212cfe2>] generic_file_aio_write_nolock+0x302/0x84e,12
06de9b08,[<021c8bda>] vt_console_print+0x64/0x28f,9
40a3bd24,[<021295e4>] check_free_space+0x1b5/0x1cb,4
38143401,[<0210737b>] do_IRQ+0x15d/0x<*>,5
cce3e3d5,[<021303bd>] do_page_cache_readahead+0xa3/0x<*>,17
e5c3c52e,[<0212c71b>] filemap_nopage+0x119/0x26d,17
84043d58,[<021361c7>] do_no_page+0xa1/0x<*>,23
6a05380f,[<0213647b>] handle_mm_fault+0x71/0xe<*>,23
a9f351ce,[<0212c5b2>] page_cache_read+0x2a/0x7a,9
d9c44a86,[<0212c784>] filemap_nopage+0x182/0x26d,6
cba5b2e1,"sendmail: page allocation failure. order:<*>, <*>",10
87b9983c,[<021359c3>] do_wp_page+0x97/0x21c,4
d460fd3f,[<0214201b>] __fput+0xb3/0xd<*>,2
968a0b94,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= <*> <*>,57
9729a3d7,[<021c8b76>] vt_console_print+0x0/0x28f,3
928b60c1,[<0213f1ba>] rw_vm+0x1ce/0x1ea,12
8bacfa83,[<021208bf>] sys_rt_sigaction+0x6b/0x<*>,3
df34bc8d,[<0213f3d3>] get_user_size+0x30/0x<*>,6
2a7e8be5,[<021287f4>] __print_symbol+0x35/0x<*>,3
22fab53c,session opened for user <*> by (uid=<*>),8
27624832,session closed for user <*>,8
64042dcf,ALERT exited abnormally with [<*>],4
b780997e,check pass; user unknown,30
d7aa792a,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= <*>,30
e5aa9792,[<021284a0>] module_text_address+0x3a/0x5d,1
82d3490f,[<02135b2f>] do_wp_page+0x203/0x21c,2
145bf27c,[<021359f7>] do_wp_page+0xcb/0x21c,1
4f2d0e0a,[<021364c6>] handle_mm_fault+0xbc/0xe<*>,1
f5b8c774,connection from <*> <*> at <*> Nov <*> <*>:<*>:<*> <*>,44
eed9d57b,[<021529bb>] d_alloc+0x38/0x1b<*>,5
d5f326ff,[<02152b72>] d_instantiate+0x3f/0x<*>,5
7a1d07c4,[<0211fc74>] sys_rt_sigprocmask+0x87/0x9a,5
e549bbb9,[<0a8e11ed>] ext3_get_inode_loc+0x119/0x201 [ext3],2
ec4dcda1,[<02221a76>] input_unregister_device+0xd/0xc<*>,2
